Nom,Lien,Prix,Lieu,Taille,Taille_terrain,Pieces,Prix au m2
Maison rouge propose 3 appartements pour investisseur,https://www.etreproprio.com/immobilier-20550245-vente-maison-rouge-propose-3-appartements-pour-investisseur-lannion,241040.0,Lannion 22300,101.0,432,6.0,2387.0
Maison à vendre à lannion,https://www.etreproprio.com/immobilier-19820277-vente-maison-a-vendre-a-lannion-lannion,474750.0,Lannion 22300,215.0,3 835,9.0,2208.0
"Côtes d'armor, lannion, vente propriété de charme 427m²",https://www.etreproprio.com/immobilier-19145608-vente-cotes-d-armor-lannion-vente-propriete-de-charme-427m-lannion,735000.0,Lannion 22300,428.0,3 790,19.0,1717.0
Un chapitre de l'histoire de lannion à réinventer,https://www.etreproprio.com/immobilier-19079997-vente-un-chapitre-de-l-histoire-de-lannion-a-reinventer-lannion,1257600.0,Lannion 22300,220.0,2 150,12.0,5716.0
Maison située en campagne,https://www.etreproprio.com/immobilier-21743656-vente-maison-situee-en-campagne-lescouet-gouarec,95300.0,Lescouet-Gouarec 22570,61.0,4 835,4.0,1562.0
Maison lescouet gouarec 35 m2,https://www.etreproprio.com/immobilier-23485090-vente-maison-lescouet-gouarec-35-m2-lescouet-gouarec,25990.0,Lescouet-Gouarec 22570,35.0,,2.0,743.0
Charmante maison en pierre à la campagne,https://www.etreproprio.com/immobilier-21923440-vente-charmante-maison-en-pierre-a-la-campagne-lescouet-gouarec,79300.0,Lescouet-Gouarec 22570,53.0,783,3.0,1496.0
"Charmante maison bretonne avec grand jardin, proche quintin",https://www.etreproprio.com/immobilier-23052449-vente-charmante-maison-bretonne-avec-grand-jardin-proche-quintin-le-leslay,203200.0,Le Leslay 22800,111.0,1 710,5.0,1831.0
"Lezardrieux, a vendre maison en pierre avec jardinet. investissement locatif idéal.",https://www.etreproprio.com/immobilier-23856387-vente-lezardrieux-a-vendre-maison-en-pierre-avec-jardinet-investissement-locatif-ideal-lezardrieux,159500.0,Lezardrieux 22740,70.0,58,3.0,2279.0
"Lezardrieux, vue imprenable sur le trieux, maison 150m2, 5 chambres,  terrain 2930m2",https://www.etreproprio.com/immobilier-23833370-vente-lezardrieux-vue-imprenable-sur-le-trieux-maison-150m2-5-chambres-terrain-2930m2-lezardrieux,364000.0,Lezardrieux 22740,150.0,2 956,6.0,2427.0
Maison 161m² à lezardrieux,https://www.etreproprio.com/immobilier-23820920-vente-maison-161m-a-lezardrieux-lezardrieux,572000.0,Lezardrieux 22740,161.0,1 576,6.0,3553.0
Maison 138m² à lezardrieux,https://www.etreproprio.com/immobilier-22971763-vente-maison-138m-a-lezardrieux-lezardrieux,259500.0,Lezardrieux 22740,138.0,647,7.0,1880.0
Maison lezardrieux 7 pièce(s) 220 m2,https://www.etreproprio.com/immobilier-23598304-vente-maison-lezardrieux-7-pieces-220-m2-lezardrieux,388500.0,Lezardrieux 22740,220.0,2 300,7.0,1766.0
"Lezardrieux, maison en pierres à rénover",https://www.etreproprio.com/immobilier-22049036-vente-lezardrieux-maison-en-pierres-a-renover-lezardrieux,106000.0,Lezardrieux 22740,70.0,,3.0,1514.0
Maison du début du siècle offrant authenticité et histoire !,https://www.etreproprio.com/immobilier-23451972-vente-maison-du-debut-du-siecle-offrant-authenticite-et-histoire-lezardrieux,286500.0,Lezardrieux 22740,100.0,,6.0,2865.0
"Lezardrieux, à vendre belle propriété avec vue sur le trieux",https://www.etreproprio.com/immobilier-23393949-vente-lezardrieux-a-vendre-belle-propriete-avec-vue-sur-le-trieux-lezardrieux,572000.0,Lezardrieux 22740,131.0,1 576,6.0,4366.0
Maison à lézardrieux (22740),https://www.etreproprio.com/immobilier-23119020-vente-maison-a-lezardrieux-22740-lezardrieux,280000.0,Lezardrieux 22740,105.0,531,5.0,2667.0
Maison 211m² à lezardrieux,https://www.etreproprio.com/immobilier-23292445-vente-maison-211m-a-lezardrieux-lezardrieux,349000.0,Lezardrieux 22740,211.0,2 055,8.0,1654.0
Maison 138m² à lezardrieux,https://www.etreproprio.com/immobilier-22148627-vente-maison-138m-a-lezardrieux-lezardrieux,275600.0,Lezardrieux 22740,138.0,647,7.0,1997.0
Maison lezardrieux 6 pièce(s) 182 m2,https://www.etreproprio.com/immobilier-23164729-vente-maison-lezardrieux-6-pieces-182-m2-lezardrieux,283500.0,Lezardrieux 22740,182.0,750,7.0,1558.0
A vendre maison en pierres  proche de la mer,https://www.etreproprio.com/immobilier-21875383-vente-a-vendre-maison-en-pierres-proche-de-la-mer-lezardrieux,162750.0,Lezardrieux 22740,60.0,123,3.0,2712.0
Maison 200m² à lezardrieux,https://www.etreproprio.com/immobilier-23043706-vente-maison-200m-a-lezardrieux-lezardrieux,774500.0,Lezardrieux 22740,200.0,2 475,7.0,3872.0
Maison 225m² à lezardrieux,https://www.etreproprio.com/immobilier-22993034-vente-maison-225m-a-lezardrieux-lezardrieux,325000.0,Lezardrieux 22740,225.0,3 221,12.0,1444.0
Maison 204m² à lezardrieux,https://www.etreproprio.com/immobilier-22475354-vente-maison-204m-a-lezardrieux-lezardrieux,776500.0,Lezardrieux 22740,204.0,6 664,7.0,3806.0
Maison d’architecte - vue mer - piscine,https://www.etreproprio.com/immobilier-21394932-vente-maison-d-architecte-vue-mer-piscine-lezardrieux,787500.0,Lezardrieux 22740,262.0,6 664,7.0,3006.0
Maison de ville en pierres à lézardrieux,https://www.etreproprio.com/immobilier-22230995-vente-maison-de-ville-en-pierres-a-lezardrieux-lezardrieux,288200.0,Lezardrieux 22740,100.0,309,6.0,2882.0
Maison 101m² à lezardrieux,https://www.etreproprio.com/immobilier-22242218-vente-maison-101m-a-lezardrieux-lezardrieux,287000.0,Lezardrieux 22740,101.0,309,5.0,2842.0
Maison 170m² à lezardrieux,https://www.etreproprio.com/immobilier-21364483-vente-maison-170m-a-lezardrieux-lezardrieux,538200.0,Lezardrieux 22740,170.0,1 862,8.0,3166.0
Propriete à vendre 4 pièces locarn (22),https://www.etreproprio.com/immobilier-23552219-vente-propriete-a-vendre-4-pieces-locarn-22-locarn,247500.0,Locarn 22340,70.0,18 867,4.0,3536.0
Maison 134m² à locarn,https://www.etreproprio.com/immobilier-23349705-vente-maison-134m-a-locarn-locarn,250000.0,Locarn 22340,134.0,2 949,4.0,1866.0
"Maison 2 chambres au calme à locarn(22) avec garage, grand jardin et dépendances dont un gîte rénové pour revenus supplémentaire",https://www.etreproprio.com/immobilier-23066460-vente-maison-2-chambres-au-calme-a-locarn22-avec-garage-grand-jardin-et-dependances-dont-un-gite-renove-pour-revenus-supplementaire-locarn,254178.0,Locarn 22340,134.0,2 949,5.0,1897.0
Vie de plain-pied avec gîtes et piscine chauffée,https://www.etreproprio.com/immobilier-23073129-vente-vie-de-plain-pied-avec-gites-et-piscine-chauffee-locarn,245000.0,Locarn 22340,208.0,3 313,9.0,1178.0
Ensemble immobilier à fort potentiel au cœur de locarn,https://www.etreproprio.com/immobilier-22089681-vente-ensemble-immobilier-a-fort-potentiel-au-coeur-de-locarn-locarn,123000.0,Locarn 22340,146.0,1 206,7.0,842.0
Maison 70m² à loguivy-plougras,https://www.etreproprio.com/immobilier-23905094-vente-maison-70m-a-loguivy-plougras-loguivy-plougras,129900.0,Loguivy-Plougras 22780,70.0,,3.0,1856.0
Maison 76m² à loguivy-plougras,https://www.etreproprio.com/immobilier-23660915-vente-maison-76m-a-loguivy-plougras-loguivy-plougras,149900.0,Loguivy-Plougras 22780,76.0,,3.0,1972.0
Maison de 88 m²,https://www.etreproprio.com/immobilier-23380727-vente-maison-de-88-m-loguivy-plougras,49000.0,Loguivy-Plougras 22780,88.0,229,3.0,557.0
Jolie maison en pierre à rénover,https://www.etreproprio.com/immobilier-22269476-vente-jolie-maison-en-pierre-a-renover-loguivy-plougras,88000.0,Loguivy-Plougras 22780,85.0,939,4.0,1035.0
Maison loguivy plougras 4 pièce(s) 75 m2,https://www.etreproprio.com/immobilier-23219345-vente-maison-loguivy-plougras-4-pieces-75-m2-loguivy-plougras,99500.0,Loguivy-Plougras 22780,75.0,,4.0,1327.0
Maison 628m² à loguivy-plougras,https://www.etreproprio.com/immobilier-22378610-vente-maison-628m-a-loguivy-plougras-loguivy-plougras,599000.0,Loguivy-Plougras 22780,628.0,2 587,18.0,954.0
Maison 30m² à loguivy-plougras,https://www.etreproprio.com/immobilier-22201843-vente-maison-30m-a-loguivy-plougras-loguivy-plougras,31000.0,Loguivy-Plougras 22780,30.0,422,1.0,1033.0
Maison 70m² à loguivy-plougras,https://www.etreproprio.com/immobilier-22975762-vente-maison-70m-a-loguivy-plougras-loguivy-plougras,66000.0,Loguivy-Plougras 22780,70.0,,4.0,943.0
Maison 137m² à loguivy-plougras,https://www.etreproprio.com/immobilier-22148990-vente-maison-137m-a-loguivy-plougras-loguivy-plougras,158000.0,Loguivy-Plougras 22780,137.0,2 441,6.0,1153.0
"Jolie bergerie en pierre à rénover, sur terrain clos et plat....",https://www.etreproprio.com/immobilier-22734327-vente-jolie-bergerie-en-pierre-a-renover-sur-terrain-clos-et-plat-loguivy-plougras,39000.0,Loguivy-Plougras 22780,39.0,422,1.0,1000.0
Maison 116m² à loguivy-plougras,https://www.etreproprio.com/immobilier-22144882-vente-maison-116m-a-loguivy-plougras-loguivy-plougras,100000.0,Loguivy-Plougras 22780,117.0,1 479,6.0,855.0
Lezardrieux - a deux pas du port!                  maison   7 pièces   138m²,https://www.etreproprio.com/immobilier-22263476-vente-lezardrieux-a-deux-pas-du-port-maison-7-pieces-138m-lezardrieux,303920.0,Lezardrieux 22740,138.0,647,7.0,2202.0
Maison 180m² à lezardrieux,https://www.etreproprio.com/immobilier-21903482-vente-maison-180m-a-lezardrieux-lezardrieux,567000.0,Lezardrieux 22740,180.0,67 699,7.0,3150.0
Maison 210m² à lezardrieux,https://www.etreproprio.com/immobilier-21612196-vente-maison-210m-a-lezardrieux-lezardrieux,270000.0,Lezardrieux 22740,210.0,1 815,8.0,1286.0
Maison de maître,https://www.etreproprio.com/immobilier-20635238-vente-maison-de-maitre-lezardrieux,280000.0,Lezardrieux 22740,125.0,2 200,4.0,2240.0
Charmante maison en pierres à lohuec,https://www.etreproprio.com/immobilier-23552452-vente-charmante-maison-en-pierres-a-lohuec-lohuec,95500.0,Lohuec 22160,75.0,762,4.0,1273.0
Maison 78m² à lohuec,https://www.etreproprio.com/immobilier-23221575-vente-maison-78m-a-lohuec-lohuec,95500.0,Lohuec 22160,78.0,762,3.0,1224.0
Chamante propriété bretonne,https://www.etreproprio.com/immobilier-23148276-vente-chamante-propriete-bretonne-lohuec,139000.0,Lohuec 22160,157.0,2 452,5.0,885.0
"Charmante longère rénovée à la campagne, vie de plain pied, près de 1 hectare de terrain",https://www.etreproprio.com/immobilier-22043586-vente-charmante-longere-renovee-a-la-campagne-vie-de-plain-pied-pres-de-1-hectare-de-terrain-lohuec,196000.0,Lohuec 22160,108.0,9 260,5.0,1815.0
Maison  4 pièce(s) 100 m2,https://www.etreproprio.com/immobilier-21287064-vente-maison-4-pieces-100-m2-loscouet-sur-meu,66127.0,Loscouet-Sur-Meu 22230,100.0,2 800,4.0,661.0
Maison loscouet sur meu 7 pièce(s) 190 m2,https://www.etreproprio.com/immobilier-23252748-vente-maison-loscouet-sur-meu-7-pieces-190-m2-loscouet-sur-meu,325500.0,Loscouet-Sur-Meu 22230,190.0,5 044,7.0,1713.0
Maison  2 pièce(s) 47 m2,https://www.etreproprio.com/immobilier-23252606-vente-maison-2-pieces-47-m2-loscouet-sur-meu,59990.0,Loscouet-Sur-Meu 22230,47.0,5 502,2.0,1276.0
Maison 80m² à loscouet-sur-meu,https://www.etreproprio.com/immobilier-22709283-vente-maison-80m-a-loscouet-sur-meu-loscouet-sur-meu,95000.0,Loscouet-Sur-Meu 22230,80.0,700,4.0,1188.0
Maison loscouet sur meu a rénover,https://www.etreproprio.com/immobilier-22081842-vente-maison-loscouet-sur-meu-a-renover-loscouet-sur-meu,74800.0,Loscouet-Sur-Meu 22230,135.0,3 000,4.0,554.0
Maison 345m² à louannec,https://www.etreproprio.com/immobilier-23898652-vente-maison-345m-a-louannec-louannec,1342900.0,Louannec 22700,345.0,1 858,12.0,3892.0
Maison 209m² à louannec,https://www.etreproprio.com/immobilier-23828618-vente-maison-209m-a-louannec-louannec,1196000.0,Louannec 22700,210.0,212,8.0,5695.0
"Maison de plain pieds de 90 m2, 3 chambres",https://www.etreproprio.com/immobilier-23794790-vente-maison-de-plain-pieds-de-90-m2-3-chambres-louannec,247000.0,Louannec 22700,90.0,552,4.0,2744.0
Bourg de louannec,https://www.etreproprio.com/immobilier-23734605-vente-bourg-de-louannec-louannec,235000.0,Louannec 22700,85.0,539,4.0,2765.0
Maison 132m² à louannec,https://www.etreproprio.com/immobilier-23690952-vente-maison-132m-a-louannec-louannec,229900.0,Louannec 22700,132.0,940,9.0,1742.0
"Proche du port, au calme et fonctionnelle !",https://www.etreproprio.com/immobilier-23668018-vente-proche-du-port-au-calme-et-fonctionnelle-louannec,380000.0,Louannec 22700,124.0,423,6.0,3065.0
Maison de plain-pied à rénover de 75m2 - louannec,https://www.etreproprio.com/immobilier-23645026-vente-maison-de-plain-pied-a-renover-de-75m2-louannec-louannec,189000.0,Louannec 22700,75.0,1 095,4.0,2520.0
Maison 156m² à louannec,https://www.etreproprio.com/immobilier-23649350-vente-maison-156m-a-louannec-louannec,549000.0,Louannec 22700,156.0,1 126,6.0,3519.0
Bourg de louannec,https://www.etreproprio.com/immobilier-23491560-vente-bourg-de-louannec-louannec,405000.0,Louannec 22700,140.0,700,6.0,2893.0
Plain pied,https://www.etreproprio.com/immobilier-23641704-vente-plain-pied-louannec,189000.0,Louannec 22700,75.0,1 095,4.0,2520.0
Maison 104m² à louannec,https://www.etreproprio.com/immobilier-23616866-vente-maison-104m-a-louannec-louannec,291500.0,Louannec 22700,105.0,,5.0,2776.0
Plain pied 3 chambres louannec,https://www.etreproprio.com/immobilier-23145607-vente-plain-pied-3-chambres-louannec-louannec,329175.0,Louannec 22700,85.0,784,4.0,3873.0
"Maison familiale entre plages et campagne, à deux pas des  commerces",https://www.etreproprio.com/immobilier-23534009-vente-maison-familiale-entre-plages-et-campagne-a-deux-pas-des-commerces-louannec,509000.0,Louannec 22700,160.0,1 690,8.0,3181.0
Maison 89m² à louannec,https://www.etreproprio.com/immobilier-23390470-vente-maison-89m-a-louannec-louannec,235000.0,Louannec 22700,89.0,529,5.0,2640.0
Maison 111m² à louannec,https://www.etreproprio.com/immobilier-23318693-vente-maison-111m-a-louannec-louannec,399000.0,Louannec 22700,111.0,1 213,5.0,3595.0
Maison 90m² à louannec,https://www.etreproprio.com/immobilier-23244737-vente-maison-90m-a-louannec-louannec,245000.0,Louannec 22700,90.0,,4.0,2722.0
Maison 95m² à louannec,https://www.etreproprio.com/immobilier-23078525-vente-maison-95m-a-louannec-louannec,295000.0,Louannec 22700,95.0,616,4.0,3105.0
Maison contemporaine avec vue mer dominante,https://www.etreproprio.com/immobilier-23024321-vente-maison-contemporaine-avec-vue-mer-dominante-louannec,1196000.0,Louannec 22700,212.0,3 876,8.0,5642.0
Maison 131m² à louannec,https://www.etreproprio.com/immobilier-22904770-vente-maison-131m-a-louannec-louannec,598500.0,Louannec 22700,131.0,2 197,5.0,4569.0
Propriété au bourg de louannec,https://www.etreproprio.com/immobilier-21386851-vente-propriete-au-bourg-de-louannec-louannec,509600.0,Louannec 22700,160.0,,7.0,3185.0
Spécial investisseurs - 2 logements,https://www.etreproprio.com/immobilier-23896530-vente-special-investisseurs-2-logements-louargat,128000.0,Louargat 22540,113.0,106,5.0,1133.0
"Belle propriété contemporaine de 2016, construction et matériaux de qualité",https://www.etreproprio.com/immobilier-22600083-vente-belle-propriete-contemporaine-de-2016-construction-et-materiaux-de-qualite-louargat,340223.0,Louargat 22540,139.0,2 593,6.0,2448.0
"Louargat, proche bégard et rn12, maison en pierres",https://www.etreproprio.com/immobilier-23746350-vente-louargat-proche-begard-et-rn12-maison-en-pierres-louargat,134200.0,Louargat 22540,125.0,518,4.0,1074.0
Propriété de 4 hectares  - 190m² habitables -,https://www.etreproprio.com/immobilier-23748550-vente-propriete-de-4-hectares-190m-habitables-louargat,389000.0,Louargat 22540,190.0,39 020,6.0,2047.0
Maison de 180m² - 4 chambres,https://www.etreproprio.com/immobilier-23717044-vente-maison-de-180m-4-chambres-louargat,233500.0,Louargat 22540,180.0,1 992,7.0,1297.0
Maison 125m² à louargat,https://www.etreproprio.com/immobilier-23558697-vente-maison-125m-a-louargat-louargat,222000.0,Louargat 22540,125.0,3 140,6.0,1776.0
Longère à rénover - au calme,https://www.etreproprio.com/immobilier-23252034-vente-longere-a-renover-au-calme-louargat,89500.0,Louargat 22540,100.0,1 850,3.0,895.0
Maison de charme à la campagne - plus de 15000m² de terrain,https://www.etreproprio.com/immobilier-23138486-vente-maison-de-charme-a-la-campagne-plus-de-15000m-de-terrain-louargat,148000.0,Louargat 22540,130.0,16 420,5.0,1138.0
Belle néo-bretonne avec gd hangar sur 4000 m2 de terrain,https://www.etreproprio.com/immobilier-22621037-vente-belle-neo-bretonne-avec-gd-hangar-sur-4000-m2-de-terrain-louargat,272000.0,Louargat 22540,150.0,4 000,7.0,1813.0
Maison de charme à louannec,https://www.etreproprio.com/immobilier-22713455-vente-maison-de-charme-a-louannec-louannec,598500.0,Louannec 22700,131.0,2 197,5.0,4569.0
"Du caractère, proche de la mer !",https://www.etreproprio.com/immobilier-22703237-vente-du-caractere-proche-de-la-mer-louannec,592000.0,Louannec 22700,131.0,2 197,5.0,4519.0
Maison 140m² à louannec,https://www.etreproprio.com/immobilier-21681568-vente-maison-140m-a-louannec-louannec,285000.0,Louannec 22700,140.0,802,6.0,2036.0
Maison 140m² à louannec,https://www.etreproprio.com/immobilier-22630771-vente-maison-140m-a-louannec-louannec,285000.0,Louannec 22700,140.0,802,6.0,2036.0
"Louannec : maison avec jardin, quartier calme",https://www.etreproprio.com/immobilier-22384434-vente-louannec-maison-avec-jardin-quartier-calme-louannec,395000.0,Louannec 22700,133.0,621,6.0,2970.0
Propriété de caractère sur la côte de granit rose,https://www.etreproprio.com/immobilier-21657922-vente-propriete-de-caractere-sur-la-cote-de-granit-rose-louannec,889900.0,Louannec 22700,300.0,11 160,12.0,2966.0
Maison familiale 164m²  à louannec (22700),https://www.etreproprio.com/immobilier-20999946-vente-maison-familiale-164m-a-louannec-22700-louannec,549675.0,Louannec 22700,164.0,920,6.0,3352.0
Maison 197m² à loudeac,https://www.etreproprio.com/immobilier-22483397-vente-maison-197m-a-loudeac-loudeac,295000.0,Loudeac 22600,197.0,910,9.0,1497.0
Maison 180m² à loudeac,https://www.etreproprio.com/immobilier-23741535-vente-maison-180m-a-loudeac-loudeac,358000.0,Loudeac 22600,180.0,811,6.0,1989.0
Maison bretonne à fort potentiel locatif,https://www.etreproprio.com/immobilier-23202856-vente-maison-bretonne-a-fort-potentiel-locatif-loudeac,244500.0,Loudeac 22600,235.0,840,8.0,1040.0
Maison 114m² à loudeac,https://www.etreproprio.com/immobilier-23306208-vente-maison-114m-a-loudeac-loudeac,170000.0,Loudeac 22600,114.0,700,5.0,1491.0
Maison 95m² à loudeac,https://www.etreproprio.com/immobilier-23730662-vente-maison-95m-a-loudeac-loudeac,199700.0,Loudeac 22600,95.0,452,4.0,2102.0
Maison 92m² à loudeac,https://www.etreproprio.com/immobilier-23525935-vente-maison-92m-a-loudeac-loudeac,194700.0,Loudeac 22600,92.0,463,6.0,2116.0
Maison 197m² à loudeac,https://www.etreproprio.com/immobilier-20288020-vente-maison-197m-a-loudeac-loudeac,295000.0,Loudeac 22600,197.0,910,9.0,1497.0
Maison 8 pièces 217m2,https://www.etreproprio.com/immobilier-23287433-vente-maison-8-pieces-217m2-loudeac,244300.0,Loudeac 22600,217.0,840,8.0,1126.0
Maison familiale de 4 chambres,https://www.etreproprio.com/immobilier-23552403-vente-maison-familiale-de-4-chambres-loudeac,152500.0,Loudeac 22600,85.0,684,6.0,1794.0
Maison 142m² à loudeac,https://www.etreproprio.com/immobilier-22765326-vente-maison-142m-a-loudeac-loudeac,214300.0,Loudeac 22600,142.0,507,5.0,1509.0
Maison secteur cadelac avec terrain constructible,https://www.etreproprio.com/immobilier-22077843-vente-maison-secteur-cadelac-avec-terrain-constructible-loudeac,174500.0,Loudeac 22600,90.0,,5.0,1939.0
A vendre elegante demeure familiale avec appartement indepen,https://www.etreproprio.com/immobilier-23516956-vente-a-vendre-elegante-demeure-familiale-avec-appartement-indepen-loudeac,416000.0,Loudeac 22600,245.0,1 193,8.0,1698.0
Maison 107m² à loudeac,https://www.etreproprio.com/immobilier-23514466-vente-maison-107m-a-loudeac-loudeac,120000.0,Loudeac 22600,107.0,,5.0,1121.0
Maison 163m² à loudeac,https://www.etreproprio.com/immobilier-23503200-vente-maison-163m-a-loudeac-loudeac,358000.0,Loudeac 22600,163.0,1 300,6.0,2196.0
Maison 127m² à loudeac,https://www.etreproprio.com/immobilier-23446456-vente-maison-127m-a-loudeac-loudeac,224250.0,Loudeac 22600,127.0,16 232,6.0,1766.0
Maison loudeac 5 pièce(s) 116 m2,https://www.etreproprio.com/immobilier-23405133-vente-maison-loudeac-5-pieces-116-m2-loudeac,185000.0,Loudeac 22600,116.0,645,5.0,1595.0
Maison 171m² à loudeac,https://www.etreproprio.com/immobilier-23064402-vente-maison-171m-a-loudeac-loudeac,189900.0,Loudeac 22600,171.0,506,6.0,1111.0
"Maison à vendre de 165 m², 4 grandes chambres en ville loudeac(22)",https://www.etreproprio.com/immobilier-21806713-vente-maison-a-vendre-de-165-m-4-grandes-chambres-en-ville-loudeac22-loudeac,197400.0,Loudeac 22600,165.0,431,7.0,1196.0
Maison 145m² à loudeac,https://www.etreproprio.com/immobilier-23388755-vente-maison-145m-a-loudeac-loudeac,160900.0,Loudeac 22600,145.0,1 420,7.0,1110.0
Maison 145m² à loudeac,https://www.etreproprio.com/immobilier-22630634-vente-maison-145m-a-loudeac-loudeac,177250.0,Loudeac 22600,145.0,2 980,7.0,1222.0
Maison 85m² à mael-carhaix,https://www.etreproprio.com/immobilier-23831710-vente-maison-85m-a-mael-carhaix-mael-carhaix,111000.0,Mael-Carhaix 22340,85.0,700,4.0,1306.0
Maison 75m² à mael-carhaix,https://www.etreproprio.com/immobilier-23832224-vente-maison-75m-a-mael-carhaix-mael-carhaix,100000.0,Mael-Carhaix 22340,75.0,700,3.0,1333.0
Maison 104m² à mael-carhaix,https://www.etreproprio.com/immobilier-23814955-vente-maison-104m-a-mael-carhaix-mael-carhaix,125000.0,Mael-Carhaix 22340,104.0,4 230,5.0,1202.0
Exclusivité - maison à vendre 5 pièces mael carhaix (22),https://www.etreproprio.com/immobilier-23214485-vente-exclusivite-maison-a-vendre-5-pieces-mael-carhaix-22-mael-carhaix,96900.0,Mael-Carhaix 22340,80.0,270,5.0,1211.0
Maison 72m² à mael-carhaix,https://www.etreproprio.com/immobilier-23667355-vente-maison-72m-a-mael-carhaix-mael-carhaix,111000.0,Mael-Carhaix 22340,72.0,700,3.0,1542.0
Maison 83m² à mael-carhaix,https://www.etreproprio.com/immobilier-23409446-vente-maison-83m-a-mael-carhaix-mael-carhaix,161000.0,Mael-Carhaix 22340,83.0,2 000,4.0,1940.0
Maison 88m² à mael-carhaix,https://www.etreproprio.com/immobilier-22896060-vente-maison-88m-a-mael-carhaix-mael-carhaix,166000.0,Mael-Carhaix 22340,88.0,2 200,4.0,1886.0
Maison à vendre,https://www.etreproprio.com/immobilier-23516772-vente-maison-a-vendre-mael-carhaix,81250.0,Mael-Carhaix 22340,65.0,1 050,3.0,1250.0
Maison 75m² à mael-carhaix,https://www.etreproprio.com/immobilier-23478767-vente-maison-75m-a-mael-carhaix-mael-carhaix,85000.0,Mael-Carhaix 22340,75.0,1 390,4.0,1133.0
Maison de maître mael carhaix 15 pièce(s) 416 m2,https://www.etreproprio.com/immobilier-23438671-vente-maison-de-maitre-mael-carhaix-15-pieces-416-m2-mael-carhaix,467955.0,Mael-Carhaix 22340,416.0,1 790,15.0,1125.0
Maison 117m² à mael-carhaix,https://www.etreproprio.com/immobilier-23409400-vente-maison-117m-a-mael-carhaix-mael-carhaix,153000.0,Mael-Carhaix 22340,117.0,758,5.0,1308.0
"Mael-carhaix, centre bourg",https://www.etreproprio.com/immobilier-23386031-vente-mael-carhaix-centre-bourg-mael-carhaix,195000.0,Mael-Carhaix 22340,198.0,513,6.0,985.0
"Cotes d'armor près de locarn, une maison en pierre de 2 chambres, un gîte de 1 chambre avec un garage",https://www.etreproprio.com/immobilier-22977771-vente-cotes-d-armor-pres-de-locarn-une-maison-en-pierre-de-2-chambres-un-gite-de-1-chambre-avec-un-garage-mael-carhaix,252000.0,Mael-Carhaix 22340,136.0,2 949,6.0,1853.0
Exclusivité - maison à vendre 5 pièces mael-carhaix (22),https://www.etreproprio.com/immobilier-23252419-vente-exclusivite-maison-a-vendre-5-pieces-mael-carhaix-22-mael-carhaix,68900.0,Mael-Carhaix 22340,90.0,128,5.0,766.0
Maison 89m² à mael-carhaix,https://www.etreproprio.com/immobilier-23245057-vente-maison-89m-a-mael-carhaix-mael-carhaix,126000.0,Mael-Carhaix 22340,89.0,980,4.0,1416.0
Cotes d'armor près de locarn : une maison individuelle de deux chambres avec une vue imprenable !,https://www.etreproprio.com/immobilier-22651178-vente-cotes-d-armor-pres-de-locarn-une-maison-individuelle-de-deux-chambres-avec-une-vue-imprenable-mael-carhaix,121000.0,Mael-Carhaix 22340,89.0,259,4.0,1360.0
Bourg de mael-carhaix,https://www.etreproprio.com/immobilier-21820237-vente-bourg-de-mael-carhaix-mael-carhaix,128000.0,Mael-Carhaix 22340,112.0,3 729,7.0,1143.0
Cotes d'armor près de locarn : une maison principale du xvii^e siècle avec un cottage supplémentaire de deux chambres.,https://www.etreproprio.com/immobilier-22521218-vente-cotes-d-armor-pres-de-locarn-une-maison-principale-du-xviie-siecle-avec-un-cottage-supplementaire-de-deux-chambres-mael-carhaix,250000.0,Mael-Carhaix 22340,139.0,3 508,8.0,1799.0
"Mael-carhaix, maison à vendre",https://www.etreproprio.com/immobilier-21160356-vente-mael-carhaix-maison-a-vendre-mael-carhaix,137500.0,Mael-Carhaix 22340,64.0,17 436,4.0,2148.0
Maison 130m² à mael-carhaix,https://www.etreproprio.com/immobilier-21743721-vente-maison-130m-a-mael-carhaix-mael-carhaix,145470.0,Mael-Carhaix 22340,130.0,5 751,5.0,1119.0
Maison en pierres,https://www.etreproprio.com/immobilier-23851321-vente-maison-en-pierres-mael-pestivien,242650.0,Mael-Pestivien 22160,144.0,18 760,7.0,1685.0
Maison 100m² à mael-pestivien,https://www.etreproprio.com/immobilier-22533570-vente-maison-100m-a-mael-pestivien-mael-pestivien,139900.0,Mael-Pestivien 22160,100.0,14 237,4.0,1399.0
Propriété 6 pièces 118 m2,https://www.etreproprio.com/immobilier-23364416-vente-propriete-6-pieces-118-m2-magoar,275000.0,Magoar 22480,118.0,2 975,6.0,2331.0
Maison 66m² à magoar,https://www.etreproprio.com/immobilier-22420826-vente-maison-66m-a-magoar-magoar,129000.0,Magoar 22480,66.0,,3.0,1955.0
Exclusivité - ensemble de 3 logements,https://www.etreproprio.com/immobilier-23037440-vente-exclusivite-ensemble-de-3-logements-loudeac,173000.0,Loudeac 22600,215.0,,12.0,805.0
Maison 104m² à loudeac,https://www.etreproprio.com/immobilier-23362484-vente-maison-104m-a-loudeac-loudeac,264000.0,Loudeac 22600,104.0,670,6.0,2538.0
Maison centre loudéac – idéal 1er achat ou investissement,https://www.etreproprio.com/immobilier-23369048-vente-maison-centre-loudeac-ideal-1er-achat-ou-investissement-loudeac,97000.0,Loudeac 22600,75.0,121,4.0,1293.0
